user_id,movie_id,rating
260,63,3
63,18,3
322,131,3
452,84,3
419,3,3
43,112,3
326,77,3
183,79,3
89,57,4
347,145,3
70,88,3
449,30,3
133,59,3
60,90,3
365,121,3
306,30,3
204,124,3
34,5,3
333,145,2
563,23,3
565,129,3
334,44,3
641,13,3
111,25,3
20,69,3
251,127,2
280,51,3
238,49,3
344,73,3
109,66,3
143,105,3
240,62,3
361,74,3
497,64,3
425,33,2
550,240,2
338,26,3
405,14,5
276,1,2
457,48,3
397,21,3
90,96,3
97,119,2
554,71,3
344,73,3
130,109,3
166,14,3
389,62,3
590,51,2
294,7,3
259,64,3
190,125,3
284,26,3
154,80,2
609,134,3
268,6,2
184,46,3
154,104,2
395,96,2
125,1,4
664,105,3
197,37,3
169,30,3
416,22,3
393,20,3
5,6,3
563,52,4
326,140,3
449,115,3
148,153,3
82,58,3
149,75,3
509,60,2
374,1,3
203,108,1
93,107,3
72,142,3
151,47,3
394,63,3
301,37,3
334,114,5
404,69,3
13,92,999
377,14,2
284,17,1
459,31,3
590,134,3
221,22,3
51,22,3
502,83,3
245,136,3
588,10,3
473,143,3
223,149,3
433,58,3
448,49,3
528,147,3
187,78,3
344,72,2
391,83,-1
439,61,3
244,138,3
287,133,3
511,134,4
512,116,3
297,114,3
346,54,3
47,19,3
152,31,3
92,73,-1
540,44,2
333,98,3
68,97,3
532,3,3
403,75,2
464,146,3
321,113,3
677,102,3
82,83,3
252,59,3
254,85,1
234,72,3
230,61,1
22,75,3
284,92,3
290,86,4
59,18,3
152,73,3
535,57,2
421,50,3
0,121,2
357,7,3
560,3,2
55,64,3
546,83,4
254,107,3
458,60,4
227,137,3
574,47,3
145,145,999
45,139,3
599,105,3
212,26,3
265,129,4
659,112,3
80,30,3
545,79,3
345,27,3
529,54,3
390,77,3
8,0,2
266,52,3
2,84,3
307,141,3
392,62,999
219,115,3
579,38,3
329,92,3
486,67,3
108,145,3
458,119,3
408,114,2
697,0,3
290,66,3
565,91,3
185,14,2
9,78,3
529,85,3
499,88,4
271,51,3
470,4,3
382,26,3
591,40,10
60,57,3
100,141,3
144,28,3
441,56,3
192,15,3
598,25,3
131,123,3
408,14,3
203,92,3
423,31,3
367,107,3
283,80,3
342,68,3
543,86,3
257,148,999
467,0,3
427,83,6
212,9,3
588,136,3
274,7,3
459,38,3
630,60,2
17,46,3
593,45,2
31,98,3
346,85,3
548,86,3
72,5,3
198,10,3
535,59,3
450,17,3
619,77,3
634,115,3
432,131,3
573,135,3
183,68,4
528,41,3
632,75,4
83,105,3
663,106,2
451,114,2
479,71,3
445,127,3
177,146,2
196,31,3
75,9,3
484,110,4
492,2,3
203,39,3
11,60,2
650,88,3
231,64,3
12,80,3
366,138,3
180,0,4
206,176,3
141,77,3
129,71,3
137,52,1
96,144,2
329,112,3
166,95,3
497,100,3
550,141,2
289,127,3
133,103,3
571,8,2
380,84,3
326,11,3
318,65,3
190,35,2
186,29,3
314,23,3
345,30,3
596,136,5
182,92,3
538,27,3
513,38,2
392,15,4
203,185,2
11,41,3
283,56,3
168,126,4
317,105,3
142,8,3
179,30,3
163,105,3
414,148,3
669,36,4
298,100,2
50,132,3
15,105,3
391,67,1
333,134,3
399,117,3
101,105,3
12,52,-1
513,63,3
589,10,3
148,141,3
230,133,3
118,93,5
213,1,6
518,117,3
341,86,3
208,125,3
85,56,3
140,66,3
449,93,3
198,81,3
460,50,3
245,98,3
315,124,1
99,128,3
134,137,3
338,95,3
467,110,3
138,98,3
181,104,3
30,108,3
432,111,3
400,83,3
209,42,3
442,74,4
256,39,3
460,35,3
118,55,0
92,28,3
87,144,3
379,39,3
129,132,3
76,16,2
537,22,3
545,58,3
443,105,3
536,145,0
560,107,3
533,74,3
118,83,3
362,27,3
616,43,3
100,1,3
360,49,3
558,54,6
420,22,3
529,127,3
418,83,3
75,26,3
536,36,4
287,143,3
222,73,3
205,14,6
79,68,4
47,41,3
425,138,2
168,110,3
419,35,3
555,21,3
404,7,3
49,18,3
16,93,2
293,62,3
456,181,3
263,12,3
245,230,3
394,113,10
204,99,3
415,204,3
3,37,3
260,79,2
330,149,3
104,124,3
264,143,3
258,75,3
341,74,3
185,33,3
130,49,2
285,12,3
259,11,2
441,137,3
583,52,3
253,50,3
397,3,3
109,7,4
481,51,3
236,11,3
596,66,3
162,51,4
114,29,3
499,116,3
120,27,3
405,72,3
436,91,3
395,67,2
219,131,3
356,145,3
423,55,3
354,99,3
435,85,3
126,148,3
650,99,3
165,107,3
414,89,3
37,21,3
393,133,3
160,34,3
148,94,3
458,67,3
493,10,3
127,99,3
480,132,3
147,14,3
301,85,3
216,17,1
9,89,3
241,17,3
70,90,3
523,30,-1
294,44,3
299,21,3
514,60,3
257,10,3
625,10,3
173,88,2
366,20,4
455,47,3
419,139,3
565,74,2
528,38,-1
414,77,3
495,107,3
122,88,3
408,73,3
564,11,3
568,123,1
88,35,4
22,64,-1
547,42,3
301,135,3
395,74,1
391,77,3
590,63,3
313,148,3
542,84,3
153,42,3
439,62,2
591,87,3
539,86,5
329,33,3
172,87,3
475,116,3
90,40,3
46,64,4
280,13,10
304,54,3
157,73,3
535,90,3
366,67,3
468,47,3
440,0,2
229,133,3
352,96,2
303,26,3
577,27,3
127,119,3
